amie,nombre_ie,tipo,sostenimiento,provincia,canton,parroquia,lat,lon
17H04609,CENTRO DE EDUCACIÓN INICIAL “GROW HAPPY”,MATRIZ,PARTICULAR,PICHINCHA,MEJÍA,MACHACHI,-0.514233955,-78.56569883
17H04610,UNIDAD EDUCATIVA “ISRAEL DEL VALLE”,MATRIZ,PARTICULAR,PICHINCHA,RUMIÑAHUI,SAN RAFAEL,-0.295780867,-78.46170497
14H00834,CENTRO DE EDUCACIÓN INICIAL PASITOS GIGANTES,MATRIZ,PARTICULAR,MORONA SANTIAGO,MORONA,MACAS,-2.286641257,-78.12159729
09H06804,UNIDAD EDUCATIVA MONTE DE LOS OLIVOS,MATRIZ,PARTICULAR,GUAYAS,DURÁN,ELOY ALFARO,-2.152969643,-79.82847596
09H06807,UNIDAD EDUCATIVA PCEI CARLOS AURELIO RUBIRA INFANTE,MATRIZ,PARTICULAR,GUAYAS,GUAYAQUIL,PASCUALES,-2.130095675,-79.95506467
01H02075,UNIDAD EDUCATIVA SIMÓN BOLÍVAR,MATRIZ,PARTICULAR,AZUAY,CUENCA,EL SAGRARIO,-2.893050728,-79.0033399
17H04611,UNIDAD EDUCATIVA “JUNIOR SCHOOL”,MATRIZ,PARTICULAR,PICHINCHA,RUMIÑAHUI,SAN PEDRO DE TABOADA,-0.312629217,-78.46135628
18H01009,"CENTRO DE EDUCACIÓN INICIAL ""CLUB DE EMOCIONES""",MATRIZ,PARTICULAR,TUNGURAHUA,AMBATO,HUACHI CHICO,-1.271465098,-78.63405032
14H00835,CENTRO DE EDUCACIÓN INICIAL BB HAPPY,MATRIZ,PARTICULAR,MORONA SANTIAGO,MORONA,MACAS,-2.310142713,-78.11810697
17H02275,"UNIDAD EDUCATIVA ""ALÓAG""",ESTABLECIMIENTO,FISCAL,PICHINCHA,MEJÍA,ALOAG,-0.470527112,-78.58337627
17H02275,"UNIDAD EDUCATIVA ""ALÓAG""",ESTABLECIMIENTO,FISCAL,PICHINCHA,MEJÍA,ALOAG,-0.467652685,-78.58349399
17H02275,"UNIDAD EDUCATIVA ""ALÓAG""",ESTABLECIMIENTO,FISCAL,PICHINCHA,MEJÍA,ALOAG,-0.470997514,-78.58441767
06H00854,"UNIDAD EDUCATIVA ""CHUNCHI""",ESTABLECIMIENTO,FISCAL,CHIMBORAZO,CHUNCHI,CHUNCHI,-2.289734674,-78.91777418
06H00854,"UNIDAD EDUCATIVA ""CHUNCHI""",ESTABLECIMIENTO,FISCAL,CHIMBORAZO,CHUNCHI,CHUNCHI,-2.290637399,-78.92301284
06H00854,"UNIDAD EDUCATIVA ""CHUNCHI""",ESTABLECIMIENTO,FISCAL,CHIMBORAZO,CHUNCHI,CHUNCHI,-2.290211244,-78.92217758
06H00854,"UNIDAD EDUCATIVA ""CHUNCHI""",ESTABLECIMIENTO,FISCAL,CHIMBORAZO,CHUNCHI,CHUNCHI,-2.278812036,-78.92338037
24H00529,UNIDAD EDUCATIVA A DISTANCIA SEMIPRESENCIAL JESÚS CARPINTERO,MATRIZ,PARTICULAR,SANTA ELENA,SANTA ELENA,SAN JOSÉ DE ANCÓN,-2.325922087,-80.8550888
18H01011,ESCUELA DE EDUCACIÓN BÁSICA “WAIKIKI TUNGURAHUA ACADEMY” ,MATRIZ,PARTICULAR,TUNGURAHUA,AMBATO,HUACHI CHICO,-1.267505695,-78.6339447
18H00551,"UNIDAD EDUCATIVA ""FRAY BARTOLOMÉ DE LAS CASAS - SALASACA""",ESTABLECIMIENTO,FISCOMISIONAL,TUNGURAHUA,SAN PEDRO DE PELILEO,SALASACA,-1.320367875,-78.5771164
