ZONA;DISTRITO;PROVINCIA;CANTON;PARROQUIA;TIPO_EDUCACION;AMIE;LONGITUD;LATITUD;INSTITUCION;SOSTENIMIENTO;JURISDICCIÓN;RÉGIMEN;ZONA INEC;NIVEL DE EDUCACIÓN;Nro, de niños y niños de 3 y 4 años (AMIE 23-24);AUX_AÑO DE DOTACIÓN;AUX_T. IE;MD_AÑO DE DOTACIÓN;MD_PARALELOS;MD_MONTO USD$;M_AÑO DE DOTACIÓN;M_TIPO DE AMBIENTE;M_MONTO USD$;JE_AÑO DE DOTACIÓN;JE_CANTIDAD;JE_MONTO USD$;Aux_IE_Material
5;201;BOLIVAR;GUARANDA;ANGEL POLIBIO CHAVES;Ordinario;200015;-79.0011543927;-1.59701734077;UNIDAD EDUCATIVA ANGEL POLIBIO CHAVES;FISCAL;Intercultural;SIERRA;Urbana;Inicial/EGB/Bachillerato;156;2027;1;2027;8;23346.08;2027;8;12224.00;;;;ML_Mo
5;201;BOLIVAR;GUARANDA;JULIO E. MORENO (CATANAHUAN GRANDE);Ordinario;200126;-79.0328664013;-1.59213839271;EEB CARLOS  GUALBERTO GALARZA;FISCAL;Intercultural;SIERRA;Rural;Inicial/EGB;12;2027;1;2027;2;5836.52;2027;2;3056.00;2027;1;5748.00;ML_Mo_JE
5;201;BOLIVAR;GUARANDA;SALINAS;Ordinario;200131;-79.0163235546;-1.40442369857;UNIDAD EDUCATIVA DEL MILENIO INTERCULTURAL SALINAS;FISCAL;Intercultural;SIERRA;Rural;Inicial/EGB/Bachillerato;33;2027;1;2027;2;5836.52;2027;2;3056.00;;;-;ML_Mo
5;201;BOLIVAR;GUARANDA;SIMIATUG;Ordinario;200185;-78.9606467519;-1.29023555644;UNIDAD EDUCATIVA FELIX GRANJA GAMAZO;FISCAL;Intercultural;SIERRA;Rural;Inicial/EGB/Bachillerato;14;2027;1;2027;2;5836.52;2027;2;3056.00;;;-;ML_Mo
5;201;BOLIVAR;GUARANDA;SIMIATUG;Ordinario;200207;-79.0167964428;-1.29770357749;UNIDAD EDUCATIVA SIMON RODRIGUEZ;FISCAL;Intercultural;SIERRA;Rural;Inicial/EGB/Bachillerato;10;2027;1;2027;2;5836.52;2027;2;3056.00;2027;1;5748.00;ML_Mo_JE
5;201;BOLIVAR;GUARANDA;SAN LUIS DE PAMBIL;Ordinario;200219;-79.2406007824;-1.23302305514;UNIDAD EDUCATIVA  DIEGO DE ALMAGRO;FISCAL;Intercultural;COSTA;Rural;Inicial/EGB/Bachillerato;84;2027;1;2027;4;11673.04;2027;4;6112.00;2027;1;5748.00;ML_Mo_JE
5;202;BOLIVAR;CHILLANES;SAN JOSE DEL TAMBO (TAMBOPAMBA);Ordinario;200333;-79.2375512745;-1.95568758586;EEB DARIO C GUEVARA;FISCAL;Intercultural;COSTA;Rural;Inicial/EGB;69;2027;1;2027;3;8754.78;2027;3;4584.00;;;-;ML_Mo
5;203;BOLIVAR;CHIMBO;ASUNCION (ASANCOTO);Ordinario;200363;-79.0386704281;-1.66664027836;UNIDAD EDUCATIVA LA ASUNCION;FISCAL;Intercultural;SIERRA;Rural;Inicial/EGB/Bachillerato;20;2027;1;2027;2;5836.52;2027;2;3056.00;;;-;ML_Mo
5;203;BOLIVAR;SAN MIGUEL;BALSAPAMBA;Ordinario;200543;-79.1741606527;-1.76503749918;UNIDAD EDUCATIVA 8 DE  NOVIEMBRE;FISCAL;Intercultural;COSTA;Rural;Inicial/EGB/Bachillerato;27;2027;1;2027;2;5836.52;2027;2;3056.00;;;-;ML_Mo
3;501;COTOPAXI;LATACUNGA;ELOY ALFARO (SAN FELIPE);Ordinario;500024;-78.6155360921;-0.943473421139;ESCUELA DE EDUCACION BASICA CLUB ROTARIO;FISCAL;Intercultural;SIERRA;Urbana;Inicial/EGB;71;2027;1;2027;3;8754.78;2027;3;4584.00;2027;1;5748.00;ML_Mo_JE
